Time,DW-AK,DW-AS,DI-AK,DI-AS,AW-AK,AW-AS,AI-AK,AI-AS
-10,66.3,66.3,65.0,65.3,63.2,61.5,68.3,69.5
-5,65.0,67.5,64.5,66.3,66.4,59.6,68.0,68.8
0,67.5,65.8,63.0,68.3,65.6,60.5,70.5,70.5
2,,,61.3,66.0,,,68.3,69.8
3,66.3,61.3,56.5,51.5,63.1,59.1,,
4,,,51.3,44.3,,,62.0,66.8
5,59.5,59.3,42.0,36.0,62.4,30.1,48.9,21.5
6,,,24.5,19.3,58.4,11.3,45.7,15.5
8,53.8,59.5,18.8,9.3,50.9,7.1,33.5,9.8
10,53.0,50.0,16.3,12.5,24.2,7.1,26.0,8.0
12,47.5,17.1,,,10.0,7.9,,
15,24.3,8.5,13.5,7.5,8.0,7.4,15.5,11.5
18,6.3,7.5,,,8.3,7.9,,
20,7.5,7.0,15.0,12.5,6.5,7.6,8.8,8.3
25,9.5,7.1,,,7.4,4.2,,
30,7.5,7.8,14.0,7.5,7.6,4.5,8.0,6.8
40,10.0,7.3,13.0,7.5,7.2,3.9,7.0,6.8
